Category,ModelName,FilePath,FileType,FileSize
Generic,cinder_block,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cinder_block_2\meshes\cinder_block.dae,.dae,11.99 KB
Generic,cinder_block_wide,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cinder_block_wide\meshes\cinder_block_wide.dae,.dae,13.77 KB
Generic,coke_can,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\coke_can\meshes\coke_can.dae,.dae,625.77 KB
Generic,collapsed_fire_station,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\collapsed_fire_station\meshes\collapsed_fire_station.dae,.dae,403.59 KB
Generic,collapsed_house,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\collapsed_house\meshes\collapsed_house.dae,.dae,317.36 KB
Generic,collapsed_industrial,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\collapsed_industrial\meshes\collapsed_industrial.dae,.dae,1100.17 KB
Generic,collapsed_police_station,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\collapsed_police_station\meshes\collapsed_police_station.dae,.dae,353.9 KB
Generic,construction_barrel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\construction_barrel\meshes\construction_barrel.dae,.dae,161.83 KB
Generic,construction_cone,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\construction_cone\meshes\construction_cone.dae,.dae,31.6 KB
Generic,console,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\control_console\meshes\console.dae,.dae,292.4 KB
Generic,cordless_drill,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cordless_drill\meshes\cordless_drill.dae,.dae,133.92 KB
Generic,create_body,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\create\meshes\create_body.dae,.dae,1422.99 KB
Generic,cross_joint,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\cross_joint_part\meshes\cross_joint.dae,.dae,41.69 KB
Generic,base_model,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\demo_joint_damping\meshes\base_model.dae,.dae,604.99 KB
Generic,base_model,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\demo_joint_friction\meshes\base_model.dae,.dae,604.99 KB
Generic,base_model,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\demo_joint_stiffness\meshes\base_model.dae,.dae,604.99 KB
Generic,disk,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\disk_part\meshes\disk.dae,.dae,22.97 KB
Generic,door_handle,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\door_handle\meshes\door_handle.dae,.dae,40.27 KB
Generic,handle,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\door_handle\meshes\handle.dae,.dae,161.62 KB
Generic,2x4x48,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_2x4\meshes\2x4x48.dae,.dae,37.86 KB
Generic,2x6x48,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_2x6\meshes\2x6x48.dae,.dae,49.81 KB
Generic,4x4x20,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_4x4x20\meshes\4x4x20.dae,.dae,51.25 KB
Generic,4x4x40,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_4x4x40\meshes\4x4x40.dae,.dae,51.87 KB
Generic,attachment,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_ball_valve\meshes\attachment.dae,.dae,716.23 KB
Generic,ball_valve,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_ball_valve\meshes\ball_valve.dae,.dae,608.46 KB
Generic,4x8ftbase,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_base_4x8\meshes\4x8ftbase.dae,.dae,5.51 KB
Generic,block_wall,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_block_wall\meshes\block_wall.dae,.dae,7.61 KB
Generic,cylinder,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_blue_cylinder\meshes\cylinder.dae,.dae,172.51 KB
Generic,4x8ftdoor,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_door_4x8\meshes\4x8ftdoor.dae,.dae,23.42 KB
Generic,handle_wheel_valve,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_handle_wheel_valve\meshes\handle_wheel_valve.dae,.dae,1820.13 KB
Generic,hand_wheel_valve,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_hand_wheel_valve\meshes\hand_wheel_valve.dae,.dae,2752.3 KB
Generic,ladder,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_ladder\meshes\ladder.dae,.dae,253.98 KB
Generic,jersey_barrier,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_orange_jersey_barrier\meshes\jersey_barrier.dae,.dae,47.5 KB
Generic,truss,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_truss\meshes\truss.dae,.dae,662.32 KB
Generic,five_dice_wall,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_valve_wall\meshes\five_dice_wall.dae,.dae,367.83 KB
Generic,valve_wheel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_wheel_valve\meshes\valve_wheel.dae,.dae,606.45 KB
Generic,jersey_barrier,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_white_jersey_barrier\meshes\jersey_barrier.dae,.dae,47.5 KB
Generic,wood_slats,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_wood_slats\meshes\wood_slats.dae,.dae,82.59 KB
Generic,block,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\drc_practice_yellow_parking_block\meshes\block.dae,.dae,10.88 KB
Generic,dumpster,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\dumpster\meshes\dumpster.dae,.dae,49.64 KB
Generic,pallet,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\euro_pallet\meshes\pallet.dae,.dae,54.33 KB
Generic,fast_food,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\fast_food\meshes\fast_food.dae,.dae,152.42 KB
Generic,connector,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\fire_hose_long_curled\meshes\connector.dae,.dae,14.42 KB
Generic,coupling_hexagon,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\fire_hose_long_curled\meshes\coupling_hexagon.dae,.dae,14.99 KB
Generic,fire_hydrant,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\fire_hydrant\meshes\fire_hydrant.dae,.dae,66.72 KB
Generic,fire_station,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\fire_station\meshes\fire_station.dae,.dae,187.81 KB
Generic,trash_can,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\first_2015_trash_can\meshes\trash_can.dae,.dae,861.94 KB
Generic,fountain,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\fountain\meshes\fountain.dae,.dae,263.17 KB
Generic,gasket,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\gasket_part\meshes\gasket.dae,.dae,23 KB
Generic,gas_station,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\gas_station\meshes\gas_station.dae,.dae,708.68 KB
Generic,gazebo,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\gazebo\meshes\gazebo.dae,.dae,225.26 KB
Generic,gear,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\gear_part\meshes\gear.dae,.dae,25.41 KB
Generic,tote,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\grey_tote\meshes\tote.dae,.dae,673.54 KB
Generic,grocery_store,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\grocery_store\meshes\grocery_store.dae,.dae,283.57 KB
Generic,hammer,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\hammer\meshes\hammer.dae,.dae,524.59 KB
Generic,door,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\hinged_door\meshes\door.dae,.dae,578.19 KB
Generic,frame,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\hinged_door\meshes\frame.dae,.dae,2930.78 KB
Generic,hokuyo,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\hokuyo\meshes\hokuyo.dae,.dae,85.8 KB
Generic,house_1,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\house_1\meshes\house_1.dae,.dae,301.37 KB
Generic,house_2,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\house_2\meshes\house_2.dae,.dae,192.19 KB
Generic,house_3,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\house_3\meshes\house_3.dae,.dae,318.09 KB
Generic,realsense_r200,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\intel_realsense_r200\meshes\realsense_r200.dae,.dae,57.4 KB
Generic,jersey_barrier,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\jersey_barrier\meshes\jersey_barrier.dae,.dae,55.93 KB
Generic,kinect,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\kinect\meshes\kinect.dae,.dae,879.16 KB
Generic,lamp_post,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\lamp_post\meshes\lamp_post.dae,.dae,47.88 KB
Generic,law_office,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\law_office\meshes\law_office.dae,.dae,220.75 KB
Generic,mailbox,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\mailbox\meshes\mailbox.dae,.dae,18.67 KB
Generic,monkey_wrench,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\monkey_wrench\meshes\monkey_wrench.dae,.dae,175.04 KB
Generic,nist_elevated_floor_120,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_elevated_floor_120\meshes\nist_elevated_floor_120.dae,.dae,13.33 KB
Generic,nist_fiducial_barrel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_fiducial_barrel\meshes\nist_fiducial_barrel.dae,.dae,11.29 KB
Generic,nist_maze_wall_120,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_maze_wall_120\meshes\nist_maze_wall_120.dae,.dae,7.15 KB
Generic,nist_maze_wall_240,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_maze_wall_240\meshes\nist_maze_wall_240.dae,.dae,7.21 KB
Generic,nist_maze_wall_triple_holes_120,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_maze_wall_triple_holes_120\meshes\nist_maze_wall_triple_holes_120.dae,.dae,70.79 KB
Generic,nist_simple_ramp_120,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_simple_ramp_120\meshes\nist_simple_ramp_120.dae,.dae,6.46 KB
Generic,nist_stairs_120,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\nist_stairs_120\meshes\nist_stairs_120.dae,.dae,11.88 KB
Generic,number,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\number1\meshes\number.dae,.dae,5.24 KB
Generic,oak_tree,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\oak_tree\meshes\oak_tree.dae,.dae,120.52 KB
Generic,office_building,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\office_building\meshes\office_building.dae,.dae,492.59 KB
Generic,orbbec_astra_camera,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\orbbec_astra_camera\meshes\orbbec_astra_camera.dae,.dae,155.96 KB
Generic,osrf_first_office,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\osrf_first_office\meshes\osrf_first_office.dae,.dae,334.89 KB
Generic,parking_garage,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\parking_garage\meshes\parking_garage.dae,.dae,795.3 KB
Generic,hull,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\parrot_bebop_2\meshes\hull.dae,.dae,2256.55 KB
Generic,propeller_fl,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\parrot_bebop_2\meshes\propeller_fl.dae,.dae,209.3 KB
Generic,propeller_fr,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\parrot_bebop_2\meshes\propeller_fr.dae,.dae,170.04 KB
Generic,propeller_rl,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\parrot_bebop_2\meshes\propeller_rl.dae,.dae,170.98 KB
Generic,propeller_rr,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\parrot_bebop_2\meshes\propeller_rr.dae,.dae,171.11 KB
Generic,standing,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\person_standing\meshes\standing.dae,.dae,4408.21 KB
Generic,walking,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\person_walking\meshes\walking.dae,.dae,4378.36 KB
Generic,pickup,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pickup\meshes\pickup.dae,.dae,112.46 KB
Generic,pier,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pier\meshes\pier.dae,.dae,88.26 KB
Generic,pine_tree,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pine_tree\meshes\pine_tree.dae,.dae,88.79 KB
Generic,chassis,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pioneer2dx\meshes\chassis.dae,.dae,152.63 KB
Generic,wheel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pioneer2dx\meshes\wheel.dae,.dae,97.26 KB
Generic,chassis,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pioneer3at\meshes\chassis.dae,.dae,84.59 KB
Generic,wheel,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\pioneer3at\meshes\wheel.dae,.dae,31.91 KB
Generic,piston_rod,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\piston_rod_part\meshes\piston_rod.dae,.dae,26.25 KB
Generic,plastic_cup,C:\Users\adamm\dev\nervosys\modeling\simulation\AutonomySim\UnrealAssets\DefenseRobotics\Models\Gazebo\gazebo_models-master\plastic_cup\meshes\plastic_cup.dae,.dae,14.75 KB
